player name,WAR
azapatos,4.525856082439189
kade,3.8923868662454093
mini,3.5115776037466375
peak,3.423296090106067
terminator,3.302883927750635
aarav,3.098217707572604
greensleeves,3.092249779002553
hotshot,3.0186478080769255
shaunch,2.827429656656231
leon,2.8201212871136194
venom,2.808267926336013
greencheeze,2.7650327235476855
chyaboi,2.7145935059111435
kooks,2.615833053896311
deso,2.5718675757303338
rubber ducky,2.5279894522512287
jbassfox,2.5204667895967505
tipsy,2.4842617685567974
ral days,2.480756963931456
bylebukong,2.461755501427111
argon,2.3434596189761234
snipey,2.3236504606522876
vpr.vnm,2.3158330623303063
fernado,2.284826649624548
sooper,2.1807227143449994
sales,2.177960449499302
pops,2.094428204162063
leagueson,2.0619804029308875
dreamz,1.9599583901719329
kail,1.9596202901019217
capi,1.9464610021829052
arby,1.9222337911907252
domo,1.9194201062970344
toucan,1.8762831008303757
vt stormzy,1.8399218909840551
luma,1.8235660002677438
wika,1.8077028399170463
senor brightside,1.7847269717078242
king,1.7252228908574374
front flip freddy,1.6786637427619917
penquan,1.6700311149956315
double unicycle,1.6683787860075514
testie,1.6650010453956798
brictone,1.6561843393910913
tophatbear,1.6293521660853336
bern1s,1.6031940355959626
uncledrug,1.6023347941123103
dies,1.5783504060160958
theodorelasso,1.5028178545634967
waycey,1.4306834218549795
shooopen,1.4109857852055707
phrez,1.4094029548140634
capijack,1.3909761468329354
tortle,1.3635457600028091
awe,1.360226175603703
lukethighwalkr4,1.3086626891499806
elatedthug,1.3044189378412714
jmc,1.2649767002830608
roo,1.2317463243749187
renshirokamazaki,1.1805698662202262
g_llama,1.1669909385682777
beeholder,1.1236041074448815
paz,0.9891875786718497
notmylos,0.9785538714158712
mistermirz,0.9132699570468159
uday,0.9018112325325168
gangster.goose,0.7988511190513667
pastamafia,0.7827836706456361
